站點名稱,城鎮,aqi,狀態,日期
屏東(枋山),屏東縣,63,普通,"Fri 29 Mar 2024, 03:00PM"
新北(樹林),新北市,79,普通,"Fri 29 Mar 2024, 03:00PM"
屏東(琉球),屏東縣,53,普通,"Fri 29 Mar 2024, 03:00PM"
臺南(麻豆),臺南市,65,普通,"Fri 29 Mar 2024, 03:00PM"
高雄(湖內),高雄市,44,良好,"Fri 29 Mar 2024, 03:00PM"
彰化(員林),彰化縣,80,普通,"Fri 29 Mar 2024, 03:00PM"
大城,彰化縣,80,普通,"Fri 29 Mar 2024, 03:00PM"
富貴角,新北市,90,普通,"Fri 29 Mar 2024, 03:00PM"
麥寮,雲林縣,64,普通,"Fri 29 Mar 2024, 03:00PM"
關山,臺東縣,30,良好,"Fri 29 Mar 2024, 03:00PM"
馬公,澎湖縣,80,普通,"Fri 29 Mar 2024, 03:00PM"
金門,金門縣,75,普通,"Fri 29 Mar 2024, 03:00PM"
馬祖,連江縣,84,普通,"Fri 29 Mar 2024, 03:00PM"
埔里,南投縣,57,普通,"Fri 29 Mar 2024, 03:00PM"
復興,高雄市,65,普通,"Fri 29 Mar 2024, 03:00PM"
永和,新北市,53,普通,"Fri 29 Mar 2024, 03:00PM"
竹山,南投縣,84,普通,"Fri 29 Mar 2024, 03:00PM"
中壢,桃園市,76,普通,"Fri 29 Mar 2024, 03:00PM"
三重,新北市,65,普通,"Fri 29 Mar 2024, 03:00PM"
冬山,宜蘭縣,56,普通,"Fri 29 Mar 2024, 03:00PM"
宜蘭,宜蘭縣,48,良好,"Fri 29 Mar 2024, 03:00PM"
陽明,臺北市,49,良好,"Fri 29 Mar 2024, 03:00PM"
花蓮,花蓮縣,60,普通,"Fri 29 Mar 2024, 03:00PM"
臺東,臺東縣,54,普通,"Fri 29 Mar 2024, 03:00PM"
恆春,屏東縣,42,良好,"Fri 29 Mar 2024, 03:00PM"
潮州,屏東縣,65,普通,"Fri 29 Mar 2024, 03:00PM"
屏東,屏東縣,57,普通,"Fri 29 Mar 2024, 03:00PM"
小港,高雄市,56,普通,"Fri 29 Mar 2024, 03:00PM"
前鎮,高雄市,63,普通,"Fri 29 Mar 2024, 03:00PM"
前金,高雄市,51,普通,"Fri 29 Mar 2024, 03:00PM"
左營,高雄市,63,普通,"Fri 29 Mar 2024, 03:00PM"
楠梓,高雄市,69,普通,"Fri 29 Mar 2024, 03:00PM"
林園,高雄市,55,普通,"Fri 29 Mar 2024, 03:00PM"
大寮,高雄市,80,普通,"Fri 29 Mar 2024, 03:00PM"
鳳山,高雄市,57,普通,"Fri 29 Mar 2024, 03:00PM"
仁武,高雄市,72,普通,"Fri 29 Mar 2024, 03:00PM"
橋頭,高雄市,72,普通,"Fri 29 Mar 2024, 03:00PM"
美濃,高雄市,45,良好,"Fri 29 Mar 2024, 03:00PM"
臺南,臺南市,55,普通,"Fri 29 Mar 2024, 03:00PM"
安南,臺南市,68,普通,"Fri 29 Mar 2024, 03:00PM"
善化,臺南市,69,普通,"Fri 29 Mar 2024, 03:00PM"
新營,臺南市,70,普通,"Fri 29 Mar 2024, 03:00PM"
嘉義,嘉義市,91,普通,"Fri 29 Mar 2024, 03:00PM"
臺西,雲林縣,65,普通,"Fri 29 Mar 2024, 03:00PM"
朴子,嘉義縣,81,普通,"Fri 29 Mar 2024, 03:00PM"
新港,嘉義縣,85,普通,"Fri 29 Mar 2024, 03:00PM"
崙背,雲林縣,76,普通,"Fri 29 Mar 2024, 03:00PM"
斗六,雲林縣,86,普通,"Fri 29 Mar 2024, 03:00PM"
南投,南投縣,66,普通,"Fri 29 Mar 2024, 03:00PM"
二林,彰化縣,99,普通,"Fri 29 Mar 2024, 03:00PM"
線西,彰化縣,71,普通,"Fri 29 Mar 2024, 03:00PM"
彰化,彰化縣,70,普通,"Fri 29 Mar 2024, 03:00PM"
西屯,臺中市,71,普通,"Fri 29 Mar 2024, 03:00PM"
忠明,臺中市,59,普通,"Fri 29 Mar 2024, 03:00PM"
大里,臺中市,77,普通,"Fri 29 Mar 2024, 03:00PM"
沙鹿,臺中市,71,普通,"Fri 29 Mar 2024, 03:00PM"
豐原,臺中市,62,普通,"Fri 29 Mar 2024, 03:00PM"
三義,苗栗縣,65,普通,"Fri 29 Mar 2024, 03:00PM"
苗栗,苗栗縣,72,普通,"Fri 29 Mar 2024, 03:00PM"
頭份,苗栗縣,69,普通,"Fri 29 Mar 2024, 03:00PM"
新竹,新竹市,67,普通,"Fri 29 Mar 2024, 03:00PM"
竹東,新竹縣,69,普通,"Fri 29 Mar 2024, 03:00PM"
湖口,新竹縣,77,普通,"Fri 29 Mar 2024, 03:00PM"
龍潭,桃園市,85,普通,"Fri 29 Mar 2024, 03:00PM"
平鎮,桃園市,66,普通,"Fri 29 Mar 2024, 03:00PM"
觀音,桃園市,71,普通,"Fri 29 Mar 2024, 03:00PM"
大園,桃園市,64,普通,"Fri 29 Mar 2024, 03:00PM"
桃園,桃園市,67,普通,"Fri 29 Mar 2024, 03:00PM"
大同,臺北市,77,普通,"Fri 29 Mar 2024, 03:00PM"
松山,臺北市,67,普通,"Fri 29 Mar 2024, 03:00PM"
古亭,臺北市,72,普通,"Fri 29 Mar 2024, 03:00PM"
萬華,臺北市,62,普通,"Fri 29 Mar 2024, 03:00PM"
中山,臺北市,59,普通,"Fri 29 Mar 2024, 03:00PM"
士林,臺北市,53,普通,"Fri 29 Mar 2024, 03:00PM"
淡水,新北市,55,普通,"Fri 29 Mar 2024, 03:00PM"
林口,新北市,66,普通,"Fri 29 Mar 2024, 03:00PM"
菜寮,新北市,58,普通,"Fri 29 Mar 2024, 03:00PM"
新莊,新北市,61,普通,"Fri 29 Mar 2024, 03:00PM"
板橋,新北市,60,普通,"Fri 29 Mar 2024, 03:00PM"
土城,新北市,64,普通,"Fri 29 Mar 2024, 03:00PM"
新店,新北市,61,普通,"Fri 29 Mar 2024, 03:00PM"
萬里,新北市,90,普通,"Fri 29 Mar 2024, 03:00PM"
汐止,新北市,52,普通,"Fri 29 Mar 2024, 03:00PM"
基隆,基隆市,74,普通,"Fri 29 Mar 2024, 03:00PM"
屏東(枋山),屏東縣,63,普通,"Fri 29 Mar 2024, 02:00PM"
新北(樹林),新北市,82,普通,"Fri 29 Mar 2024, 02:00PM"
屏東(琉球),屏東縣,52,普通,"Fri 29 Mar 2024, 02:00PM"
臺南(麻豆),臺南市,62,普通,"Fri 29 Mar 2024, 02:00PM"
高雄(湖內),高雄市,42,良好,"Fri 29 Mar 2024, 02:00PM"
彰化(員林),彰化縣,80,普通,"Fri 29 Mar 2024, 02:00PM"
大城,彰化縣,69,普通,"Fri 29 Mar 2024, 02:00PM"
富貴角,新北市,84,普通,"Fri 29 Mar 2024, 02:00PM"
麥寮,雲林縣,68,普通,"Fri 29 Mar 2024, 02:00PM"
關山,臺東縣,27,良好,"Fri 29 Mar 2024, 02:00PM"
馬公,澎湖縣,67,普通,"Fri 29 Mar 2024, 02:00PM"
金門,金門縣,76,普通,"Fri 29 Mar 2024, 02:00PM"
馬祖,連江縣,71,普通,"Fri 29 Mar 2024, 02:00PM"
埔里,南投縣,55,普通,"Fri 29 Mar 2024, 02:00PM"
復興,高雄市,65,普通,"Fri 29 Mar 2024, 02:00PM"
永和,新北市,56,普通,"Fri 29 Mar 2024, 02:00PM"
竹山,南投縣,78,普通,"Fri 29 Mar 2024, 02:00PM"
中壢,桃園市,80,普通,"Fri 29 Mar 2024, 02:00PM"
三重,新北市,63,普通,"Fri 29 Mar 2024, 02:00PM"
冬山,宜蘭縣,56,普通,"Fri 29 Mar 2024, 02:00PM"
宜蘭,宜蘭縣,52,普通,"Fri 29 Mar 2024, 02:00PM"
陽明,臺北市,46,良好,"Fri 29 Mar 2024, 02:00PM"
花蓮,花蓮縣,63,普通,"Fri 29 Mar 2024, 02:00PM"
臺東,臺東縣,47,良好,"Fri 29 Mar 2024, 02:00PM"
恆春,屏東縣,38,良好,"Fri 29 Mar 2024, 02:00PM"
潮州,屏東縣,65,普通,"Fri 29 Mar 2024, 02:00PM"
屏東,屏東縣,49,良好,"Fri 29 Mar 2024, 02:00PM"
小港,高雄市,54,普通,"Fri 29 Mar 2024, 02:00PM"
前鎮,高雄市,62,普通,"Fri 29 Mar 2024, 02:00PM"
前金,高雄市,52,普通,"Fri 29 Mar 2024, 02:00PM"
左營,高雄市,63,普通,"Fri 29 Mar 2024, 02:00PM"
楠梓,高雄市,70,普通,"Fri 29 Mar 2024, 02:00PM"
林園,高雄市,55,普通,"Fri 29 Mar 2024, 02:00PM"
大寮,高雄市,74,普通,"Fri 29 Mar 2024, 02:00PM"
鳳山,高雄市,57,普通,"Fri 29 Mar 2024, 02:00PM"
仁武,高雄市,72,普通,"Fri 29 Mar 2024, 02:00PM"
橋頭,高雄市,74,普通,"Fri 29 Mar 2024, 02:00PM"
美濃,高雄市,41,良好,"Fri 29 Mar 2024, 02:00PM"
臺南,臺南市,55,普通,"Fri 29 Mar 2024, 02:00PM"
安南,臺南市,64,普通,"Fri 29 Mar 2024, 02:00PM"
善化,臺南市,67,普通,"Fri 29 Mar 2024, 02:00PM"
新營,臺南市,60,普通,"Fri 29 Mar 2024, 02:00PM"
嘉義,嘉義市,89,普通,"Fri 29 Mar 2024, 02:00PM"
臺西,雲林縣,67,普通,"Fri 29 Mar 2024, 02:00PM"
朴子,嘉義縣,79,普通,"Fri 29 Mar 2024, 02:00PM"
新港,嘉義縣,84,普通,"Fri 29 Mar 2024, 02:00PM"
崙背,雲林縣,81,普通,"Fri 29 Mar 2024, 02:00PM"
斗六,雲林縣,82,普通,"Fri 29 Mar 2024, 02:00PM"
南投,南投縣,62,普通,"Fri 29 Mar 2024, 02:00PM"
二林,彰化縣,99,普通,"Fri 29 Mar 2024, 02:00PM"
線西,彰化縣,75,普通,"Fri 29 Mar 2024, 02:00PM"
彰化,彰化縣,68,普通,"Fri 29 Mar 2024, 02:00PM"
西屯,臺中市,72,普通,"Fri 29 Mar 2024, 02:00PM"
忠明,臺中市,56,普通,"Fri 29 Mar 2024, 02:00PM"
大里,臺中市,75,普通,"Fri 29 Mar 2024, 02:00PM"
沙鹿,臺中市,66,普通,"Fri 29 Mar 2024, 02:00PM"
豐原,臺中市,63,普通,"Fri 29 Mar 2024, 02:00PM"
三義,苗栗縣,66,普通,"Fri 29 Mar 2024, 02:00PM"
苗栗,苗栗縣,72,普通,"Fri 29 Mar 2024, 02:00PM"
頭份,苗栗縣,74,普通,"Fri 29 Mar 2024, 02:00PM"
新竹,新竹市,74,普通,"Fri 29 Mar 2024, 02:00PM"
竹東,新竹縣,66,普通,"Fri 29 Mar 2024, 02:00PM"
湖口,新竹縣,76,普通,"Fri 29 Mar 2024, 02:00PM"
龍潭,桃園市,83,普通,"Fri 29 Mar 2024, 02:00PM"
平鎮,桃園市,66,普通,"Fri 29 Mar 2024, 02:00PM"
觀音,桃園市,68,普通,"Fri 29 Mar 2024, 02:00PM"
大園,桃園市,67,普通,"Fri 29 Mar 2024, 02:00PM"
桃園,桃園市,70,普通,"Fri 29 Mar 2024, 02:00PM"
大同,臺北市,76,普通,"Fri 29 Mar 2024, 02:00PM"
松山,臺北市,69,普通,"Fri 29 Mar 2024, 02:00PM"
古亭,臺北市,70,普通,"Fri 29 Mar 2024, 02:00PM"
萬華,臺北市,64,普通,"Fri 29 Mar 2024, 02:00PM"
中山,臺北市,61,普通,"Fri 29 Mar 2024, 02:00PM"
士林,臺北市,52,普通,"Fri 29 Mar 2024, 02:00PM"
淡水,新北市,60,普通,"Fri 29 Mar 2024, 02:00PM"
林口,新北市,68,普通,"Fri 29 Mar 2024, 02:00PM"
菜寮,新北市,58,普通,"Fri 29 Mar 2024, 02:00PM"
新莊,新北市,62,普通,"Fri 29 Mar 2024, 02:00PM"
板橋,新北市,60,普通,"Fri 29 Mar 2024, 02:00PM"
土城,新北市,66,普通,"Fri 29 Mar 2024, 02:00PM"
新店,新北市,64,普通,"Fri 29 Mar 2024, 02:00PM"
萬里,新北市,84,普通,"Fri 29 Mar 2024, 02:00PM"
汐止,新北市,53,普通,"Fri 29 Mar 2024, 02:00PM"
基隆,基隆市,67,普通,"Fri 29 Mar 2024, 02:00PM"
屏東(枋山),屏東縣,60,普通,"Fri 29 Mar 2024, 01:00PM"
新北(樹林),新北市,84,普通,"Fri 29 Mar 2024, 01:00PM"
屏東(琉球),屏東縣,52,普通,"Fri 29 Mar 2024, 01:00PM"
臺南(麻豆),臺南市,61,普通,"Fri 29 Mar 2024, 01:00PM"
高雄(湖內),高雄市,44,良好,"Fri 29 Mar 2024, 01:00PM"
彰化(員林),彰化縣,75,普通,"Fri 29 Mar 2024, 01:00PM"
大城,彰化縣,72,普通,"Fri 29 Mar 2024, 01:00PM"
富貴角,新北市,77,普通,"Fri 29 Mar 2024, 01:00PM"
麥寮,雲林縣,72,普通,"Fri 29 Mar 2024, 01:00PM"
關山,臺東縣,28,良好,"Fri 29 Mar 2024, 01:00PM"
馬公,澎湖縣,61,普通,"Fri 29 Mar 2024, 01:00PM"
金門,金門縣,80,普通,"Fri 29 Mar 2024, 01:00PM"
馬祖,連江縣,54,普通,"Fri 29 Mar 2024, 01:00PM"
埔里,南投縣,53,普通,"Fri 29 Mar 2024, 01:00PM"
復興,高雄市,60,普通,"Fri 29 Mar 2024, 01:00PM"
永和,新北市,62,普通,"Fri 29 Mar 2024, 01:00PM"
竹山,南投縣,74,普通,"Fri 29 Mar 2024, 01:00PM"
中壢,桃園市,81,普通,"Fri 29 Mar 2024, 01:00PM"
三重,新北市,66,普通,"Fri 29 Mar 2024, 01:00PM"
冬山,宜蘭縣,61,普通,"Fri 29 Mar 2024, 01:00PM"
宜蘭,宜蘭縣,55,普通,"Fri 29 Mar 2024, 01:00PM"
陽明,臺北市,46,良好,"Fri 29 Mar 2024, 01:00PM"
花蓮,花蓮縣,64,普通,"Fri 29 Mar 2024, 01:00PM"
臺東,臺東縣,40,良好,"Fri 29 Mar 2024, 01:00PM"
恆春,屏東縣,35,良好,"Fri 29 Mar 2024, 01:00PM"
潮州,屏東縣,61,普通,"Fri 29 Mar 2024, 01:00PM"
屏東,屏東縣,42,良好,"Fri 29 Mar 2024, 01:00PM"
小港,高雄市,52,普通,"Fri 29 Mar 2024, 01:00PM"
前鎮,高雄市,61,普通,"Fri 29 Mar 2024, 01:00PM"
前金,高雄市,52,普通,"Fri 29 Mar 2024, 01:00PM"
左營,高雄市,62,普通,"Fri 29 Mar 2024, 01:00PM"
楠梓,高雄市,71,普通,"Fri 29 Mar 2024, 01:00PM"
林園,高雄市,59,普通,"Fri 29 Mar 2024, 01:00PM"
大寮,高雄市,66,普通,"Fri 29 Mar 2024, 01:00PM"
鳳山,高雄市,59,普通,"Fri 29 Mar 2024, 01:00PM"
仁武,高雄市,73,普通,"Fri 29 Mar 2024, 01:00PM"
橋頭,高雄市,74,普通,"Fri 29 Mar 2024, 01:00PM"
美濃,高雄市,36,良好,"Fri 29 Mar 2024, 01:00PM"
臺南,臺南市,55,普通,"Fri 29 Mar 2024, 01:00PM"
安南,臺南市,63,普通,"Fri 29 Mar 2024, 01:00PM"
善化,臺南市,66,普通,"Fri 29 Mar 2024, 01:00PM"
新營,臺南市,59,普通,"Fri 29 Mar 2024, 01:00PM"
嘉義,嘉義市,84,普通,"Fri 29 Mar 2024, 01:00PM"
臺西,雲林縣,68,普通,"Fri 29 Mar 2024, 01:00PM"
朴子,嘉義縣,77,普通,"Fri 29 Mar 2024, 01:00PM"
新港,嘉義縣,81,普通,"Fri 29 Mar 2024, 01:00PM"
崙背,雲林縣,82,普通,"Fri 29 Mar 2024, 01:00PM"
斗六,雲林縣,75,普通,"Fri 29 Mar 2024, 01:00PM"
南投,南投縣,60,普通,"Fri 29 Mar 2024, 01:00PM"
二林,彰化縣,106,對敏感族群不健康,"Fri 29 Mar 2024, 01:00PM"
線西,彰化縣,77,普通,"Fri 29 Mar 2024, 01:00PM"
彰化,彰化縣,67,普通,"Fri 29 Mar 2024, 01:00PM"
西屯,臺中市,68,普通,"Fri 29 Mar 2024, 01:00PM"
忠明,臺中市,52,普通,"Fri 29 Mar 2024, 01:00PM"
大里,臺中市,74,普通,"Fri 29 Mar 2024, 01:00PM"
沙鹿,臺中市,66,普通,"Fri 29 Mar 2024, 01:00PM"
豐原,臺中市,64,普通,"Fri 29 Mar 2024, 01:00PM"
三義,苗栗縣,64,普通,"Fri 29 Mar 2024, 01:00PM"
苗栗,苗栗縣,74,普通,"Fri 29 Mar 2024, 01:00PM"
頭份,苗栗縣,75,普通,"Fri 29 Mar 2024, 01:00PM"
新竹,新竹市,75,普通,"Fri 29 Mar 2024, 01:00PM"
竹東,新竹縣,64,普通,"Fri 29 Mar 2024, 01:00PM"
湖口,新竹縣,79,普通,"Fri 29 Mar 2024, 01:00PM"
龍潭,桃園市,80,普通,"Fri 29 Mar 2024, 01:00PM"
平鎮,桃園市,67,普通,"Fri 29 Mar 2024, 01:00PM"
觀音,桃園市,70,普通,"Fri 29 Mar 2024, 01:00PM"
大園,桃園市,70,普通,"Fri 29 Mar 2024, 01:00PM"
桃園,桃園市,71,普通,"Fri 29 Mar 2024, 01:00PM"
大同,臺北市,78,普通,"Fri 29 Mar 2024, 01:00PM"
松山,臺北市,71,普通,"Fri 29 Mar 2024, 01:00PM"
古亭,臺北市,70,普通,"Fri 29 Mar 2024, 01:00PM"
萬華,臺北市,67,普通,"Fri 29 Mar 2024, 01:00PM"
中山,臺北市,64,普通,"Fri 29 Mar 2024, 01:00PM"
士林,臺北市,56,普通,"Fri 29 Mar 2024, 01:00PM"
淡水,新北市,65,普通,"Fri 29 Mar 2024, 01:00PM"
林口,新北市,73,普通,"Fri 29 Mar 2024, 01:00PM"
菜寮,新北市,62,普通,"Fri 29 Mar 2024, 01:00PM"
新莊,新北市,63,普通,"Fri 29 Mar 2024, 01:00PM"
板橋,新北市,61,普通,"Fri 29 Mar 2024, 01:00PM"
土城,新北市,69,普通,"Fri 29 Mar 2024, 01:00PM"
新店,新北市,67,普通,"Fri 29 Mar 2024, 01:00PM"
萬里,新北市,77,普通,"Fri 29 Mar 2024, 01:00PM"
汐止,新北市,57,普通,"Fri 29 Mar 2024, 01:00PM"
基隆,基隆市,61,普通,"Fri 29 Mar 2024, 01:00PM"
屏東(枋山),屏東縣,52,普通,"Fri 29 Mar 2024, 12:00PM"
新北(樹林),新北市,89,普通,"Fri 29 Mar 2024, 12:00PM"
屏東(琉球),屏東縣,49,良好,"Fri 29 Mar 2024, 12:00PM"
臺南(麻豆),臺南市,59,普通,"Fri 29 Mar 2024, 12:00PM"
高雄(湖內),高雄市,40,良好,"Fri 29 Mar 2024, 12:00PM"
彰化(員林),彰化縣,71,普通,"Fri 29 Mar 2024, 12:00PM"
大城,彰化縣,74,普通,"Fri 29 Mar 2024, 12:00PM"
富貴角,新北市,74,普通,"Fri 29 Mar 2024, 12:00PM"
麥寮,雲林縣,72,普通,"Fri 29 Mar 2024, 12:00PM"
關山,臺東縣,28,良好,"Fri 29 Mar 2024, 12:00PM"
馬公,澎湖縣,60,普通,"Fri 29 Mar 2024, 12:00PM"
金門,金門縣,84,普通,"Fri 29 Mar 2024, 12:00PM"
馬祖,連江縣,53,普通,"Fri 29 Mar 2024, 12:00PM"
埔里,南投縣,53,普通,"Fri 29 Mar 2024, 12:00PM"
復興,高雄市,59,普通,"Fri 29 Mar 2024, 12:00PM"
永和,新北市,66,普通,"Fri 29 Mar 2024, 12:00PM"
竹山,南投縣,69,普通,"Fri 29 Mar 2024, 12:00PM"
中壢,桃園市,81,普通,"Fri 29 Mar 2024, 12:00PM"
三重,新北市,69,普通,"Fri 29 Mar 2024, 12:00PM"
冬山,宜蘭縣,64,普通,"Fri 29 Mar 2024, 12:00PM"
宜蘭,宜蘭縣,60,普通,"Fri 29 Mar 2024, 12:00PM"
陽明,臺北市,44,良好,"Fri 29 Mar 2024, 12:00PM"
花蓮,花蓮縣,61,普通,"Fri 29 Mar 2024, 12:00PM"
臺東,臺東縣,33,良好,"Fri 29 Mar 2024, 12:00PM"
恆春,屏東縣,33,良好,"Fri 29 Mar 2024, 12:00PM"
潮州,屏東縣,58,普通,"Fri 29 Mar 2024, 12:00PM"
屏東,屏東縣,38,良好,"Fri 29 Mar 2024, 12:00PM"
小港,高雄市,52,普通,"Fri 29 Mar 2024, 12:00PM"
前鎮,高雄市,59,普通,"Fri 29 Mar 2024, 12:00PM"
前金,高雄市,50,良好,"Fri 29 Mar 2024, 12:00PM"
左營,高雄市,62,普通,"Fri 29 Mar 2024, 12:00PM"
楠梓,高雄市,70,普通,"Fri 29 Mar 2024, 12:00PM"
林園,高雄市,55,普通,"Fri 29 Mar 2024, 12:00PM"
大寮,高雄市,61,普通,"Fri 29 Mar 2024, 12:00PM"
鳳山,高雄市,55,普通,"Fri 29 Mar 2024, 12:00PM"
仁武,高雄市,71,普通,"Fri 29 Mar 2024, 12:00PM"
橋頭,高雄市,72,普通,"Fri 29 Mar 2024, 12:00PM"
美濃,高雄市,33,良好,"Fri 29 Mar 2024, 12:00PM"
臺南,臺南市,55,普通,"Fri 29 Mar 2024, 12:00PM"
安南,臺南市,62,普通,"Fri 29 Mar 2024, 12:00PM"
善化,臺南市,67,普通,"Fri 29 Mar 2024, 12:00PM"
新營,臺南市,56,普通,"Fri 29 Mar 2024, 12:00PM"
嘉義,嘉義市,80,普通,"Fri 29 Mar 2024, 12:00PM"
臺西,雲林縣,64,普通,"Fri 29 Mar 2024, 12:00PM"
朴子,嘉義縣,70,普通,"Fri 29 Mar 2024, 12:00PM"
新港,嘉義縣,74,普通,"Fri 29 Mar 2024, 12:00PM"
崙背,雲林縣,80,普通,"Fri 29 Mar 2024, 12:00PM"
斗六,雲林縣,67,普通,"Fri 29 Mar 2024, 12:00PM"
南投,南投縣,57,普通,"Fri 29 Mar 2024, 12:00PM"
二林,彰化縣,111,對敏感族群不健康,"Fri 29 Mar 2024, 12:00PM"
線西,彰化縣,76,普通,"Fri 29 Mar 2024, 12:00PM"
彰化,彰化縣,62,普通,"Fri 29 Mar 2024, 12:00PM"
西屯,臺中市,70,普通,"Fri 29 Mar 2024, 12:00PM"
忠明,臺中市,50,良好,"Fri 29 Mar 2024, 12:00PM"
大里,臺中市,72,普通,"Fri 29 Mar 2024, 12:00PM"
沙鹿,臺中市,64,普通,"Fri 29 Mar 2024, 12:00PM"
豐原,臺中市,65,普通,"Fri 29 Mar 2024, 12:00PM"
三義,苗栗縣,65,普通,"Fri 29 Mar 2024, 12:00PM"
苗栗,苗栗縣,73,普通,"Fri 29 Mar 2024, 12:00PM"
頭份,苗栗縣,76,普通,"Fri 29 Mar 2024, 12:00PM"
新竹,新竹市,79,普通,"Fri 29 Mar 2024, 12:00PM"
竹東,新竹縣,64,普通,"Fri 29 Mar 2024, 12:00PM"
湖口,新竹縣,81,普通,"Fri 29 Mar 2024, 12:00PM"
龍潭,桃園市,79,普通,"Fri 29 Mar 2024, 12:00PM"
平鎮,桃園市,68,普通,"Fri 29 Mar 2024, 12:00PM"
觀音,桃園市,73,普通,"Fri 29 Mar 2024, 12:00PM"
大園,桃園市,72,普通,"Fri 29 Mar 2024, 12:00PM"
桃園,桃園市,73,普通,"Fri 29 Mar 2024, 12:00PM"
大同,臺北市,83,普通,"Fri 29 Mar 2024, 12:00PM"
松山,臺北市,73,普通,"Fri 29 Mar 2024, 12:00PM"
古亭,臺北市,78,普通,"Fri 29 Mar 2024, 12:00PM"
萬華,臺北市,70,普通,"Fri 29 Mar 2024, 12:00PM"
中山,臺北市,66,普通,"Fri 29 Mar 2024, 12:00PM"
士林,臺北市,61,普通,"Fri 29 Mar 2024, 12:00PM"
淡水,新北市,68,普通,"Fri 29 Mar 2024, 12:00PM"
林口,新北市,75,普通,"Fri 29 Mar 2024, 12:00PM"
菜寮,新北市,67,普通,"Fri 29 Mar 2024, 12:00PM"
新莊,新北市,67,普通,"Fri 29 Mar 2024, 12:00PM"
板橋,新北市,63,普通,"Fri 29 Mar 2024, 12:00PM"
土城,新北市,76,普通,"Fri 29 Mar 2024, 12:00PM"
新店,新北市,74,普通,"Fri 29 Mar 2024, 12:00PM"
